05.00-3|Extracao de carvao mineral|C-1
06.00-0|Extracao de petroleo e gas natural|C-1
07.10-3|Extracao de minerio de ferro|C-1
07.21-9|Extracao de minerio de aluminio|C-1
07.22-7|Extracao de minerio de estanho|C-1
07.23-5|Extracao de minerio de manganes|C-1
07.24-3|Extracao de minerio de metais preciosos|C-1
07.25-1|Extracao de minerais radioativos|C-1
07.29-4|Extracao de minerais metalicos nao-ferrosos nao especificados anteriormente|C-1
08.10-0|Extracao de pedra, areia e argila|C-1
08.91-6|Extracao de minerais para fabricacao de adubos, fertilizantes e outros produtos quimicos|C-1
08.92-4|Extracao e refino de sal marinho e sal-gema|C-1
08.93-2|Extracao de gemas (pedras preciosas e semipreciosas)|C-1
08.99-1|Extracao de minerais nao-metalicos nao especificados anteriormente|C-1
09.10-6|Atividades de apoio a extracao de petroleo e gas natural|C-1
09.90-4|Atividades de apoio a extracao de minerais, exceto petroleo e gas natural|C-1
10.11|Abate de reses, exceto suinos|C-2
10.12-1|Abate de suinos, aves e outros pequenos animais|C-2
10.13-9|Fabricacao de produtos de carne|C-2
10.20-1|Preservacao do pescado e fabricacao de produtos do pescado|C-2
10.31-7|Fabricacao de conservas de frutas|C-2
10.32-5|Fabricacao de conservas de legumes e outros vegetais|C-2
10.33-3|Fabricacao de sucos de frutas, hortalicas e legumes|C-2
10.41-4|Fabricacao de oleos vegetais em bruto, exceto oleo de milho|C-2
10.42-2|Fabricacao de oleos vegetais refinados, exceto oleo de milho|C-2
10.43-1|Fabricacao de margarina e outras gorduras vegetais e de oleos naocomestiveis de animais|C-2
10.51-1|Preparacao do leite|C-2
10.52-0|Fabricacao de laticinios|C-2
10.53-8|Fabricacao de sorvetes e outros gelados comestiveis|C-2
10.61-9|Beneficiamento de arroz e fabricacao de produtos do arroz|C-2
10.62-7|Moagem de trigo e fabricacao de derivados|C-2
10.63-5|Fabricacao de farinha de mandioca e derivados|C-2
10.64-3|Fabricacao de farinha de milho e derivados, exceto oleos de milho|C-2
10.65-1|Fabricacao de amidos e feculas de vegetais e de oleos de milho|C-2
10.66-0|Fabricacao de alimentos para animais|C-2
10.69-4|Moagem e fabricacao de produtos de origem vegetal nao especificados anteriormente|C-2
10.71-6|Fabricacao de acucar em bruto|C-2
10.72-4|Fabricacao de acucar refinado|C-2
10.81-3|Torrefacao e moagem de cafe|C-2
10.82-1|Fabricacao de produtos a base de cafe|C-2
10.91-1|Fabricacao de produtos de panificacao|C-2
10.92-9|Fabricacao de biscoitos e bolachas|C-2
10.93-7|Fabricacao de produtos derivados do cacau, de chocolates e confeitos|C-2
10.94-5|Fabricacao de massas alimenticias|C-2
